Wavelength (nm),Intensity (a.u.),Z Axis,
,CG_E0,CG_E0,CG_E5,CG_10,CG_20,CG_E21\,CG_E30,CG_E31,CG1w,CG1wkb
560,170.746429443359,174.650482177734,166.385147094727,163.483184814453,371.797973632812,377.439880371094,150.849334716797,152.341949462891,5.40087699890137,5.08302927017212
561.02001953125,165.919891357422,167.712249755859,160.786972045898,157.467849731445,359.975555419922,361.847137451172,145.811950683594,149.03645324707,4.75254249572754,4.83999395370483
562.049987792969,161.061126708984,162.341903686523,155.762588500977,151.272476196289,347.937896728516,351.276214599609,140.090148925781,141.380081176758,4.80841493606567,4.43389558792114
562.940002441406,156.246063232422,155.129180908203,152.632843017578,147.178665161133,342.322479248047,339.394195556641,139.812927246094,138.745529174805,4.56494092941284,4.96981430053711
563.969970703125,152.645126342773,153.337310791016,146.085327148438,143.68896484375,328.216461181641,328.181213378906,133.30192565918,132.77995300293,4.59952449798584,4.46831750869751
565,145.366744995117,147.565032958984,141.611099243164,138.433731079102,318.319030761719,318.630462646484,128.004577636719,129.126831054688,4.28891372680664,4.49551153182983
566.02001953125,144.048538208008,143.290298461914,135.936630249023,137.188461303711,309.189727783203,313.117553710937,126.263023376465,125.216873168945,4.28569412231445,3.80596899986267
567.049987792969,136.55891418457,139.115814208984,134.368148803711,130.60693359375,300.9033203125,300.2724609375,121.613082885742,122.002838134766,4.36428165435791,4.13402986526489
567.940002441406,134.333450317383,136.677978515625,131.348159790039,127.527626037598,293.231292724609,293.988616943359,118.554611206055,120.59268951416,3.98738265037537,4.39376783370972
568.969970703125,128.983306884766,131.593185424805,124.52027130127,123.233329772949,287.013610839844,285.790618896484,114.862564086914,114.909019470215,3.84205365180969,3.98224115371704
570,123.757743835449,125.443977355957,123.244590759277,118.616325378418,276.707061767578,277.94580078125,110.656791687012,112.098579406738,3.97644281387329,3.68273711204529
571.02001953125,122.779747009277,122.655029296875,119.307159423828,117.441192626953,270.461944580078,269.687866210938,109.438484191895,107.09513092041,3.83837604522705,3.9269552230835
572.049987792969,118.61824798584,118.414360046387,114.199798583984,111.520446777344,263.346618652344,262.440368652344,107.196731567383,103.929832458496,4.07789421081543,3.60123610496521
572.940002441406,114.850082397461,114.232223510742,109.93677520752,109.797103881836,256.678558349609,254.733825683594,102.277671813965,102.202072143555,3.51620125770569,3.39563369750977
573.969970703125,114.252807617187,113.978569030762,108.025489807129,106.06909942627,251.058578491211,246.356079101562,100.588577270508,98.591064453125,3.20870184898376,3.69189548492432
575,108.347305297852,108.130081176758,106.379638671875,103.048309326172,239.941314697266,237.984649658203,95.3836517333984,94.7032318115234,3.67518591880798,3.43769764900207
576.02001953125,105.022468566895,104.718040466309,101.575103759766,98.679443359375,232.48616027832,228.074737548828,92.8372421264648,92.3600387573242,3.55476665496826,3.45182228088379
577.049987792969,101.939903259277,100.955299377441,98.4267959594727,97.4170227050781,223.156326293945,222.880920410156,89.4480819702148,88.0769424438477,3.31538581848145,3.27891755104065
577.940002441406,98.2733688354492,99.8969421386719,96.0206680297852,92.2144622802734,214.49055480957,215.658004760742,87.791862487793,87.643684387207,3.0225145816803,3.13656258583069
578.969970703125,97.2451553344727,94.4127731323242,90.3157730102539,89.1573791503906,209.291000366211,208.461868286133,84.0222320556641,83.7851791381836,3.06727457046509,3.01598644256592
580,91.8547897338867,92.8133926391602,87.768669128418,85.7233657836914,201.301315307617,198.783630371094,79.386344909668,80.9724578857422,2.61306667327881,2.77648591995239
581.02001953125,88.3509368896484,87.9699172973633,84.8041305541992,83.8495941162109,193.597732543945,192.585113525391,78.4117050170898,77.286018371582,2.923335313797,2.78850531578064
582.049987792969,85.1794891357422,85.0654678344727,80.6643142700195,81.897705078125,184.379135131836,185.679916381836,74.1515045166016,75.817138671875,2.90908408164978,2.72556638717651
582.940002441406,83.0453872680664,81.5269317626953,79.3291473388672,77.5917434692383,179.306579589844,180.795700073242,72.451286315918,72.7041244506836,2.45961236953735,2.61112356185913
583.969970703125,78.3626327514648,79.0756378173828,75.8237915039063,73.0861511230469,173.317977905273,171.755737304687,69.1607437133789,69.4975738525391,2.33141565322876,2.48873233795166
585,76.4803695678711,75.7845230102539,72.9597320556641,70.7551422119141,168.626541137695,168.407196044922,66.7350082397461,67.7456359863281,2.22156500816345,2.29558110237122
586.02001953125,73.8754196166992,73.7260589599609,70.2347717285156,70.2484664916992,159.616287231445,161.882522583008,64.8182067871094,64.9701995849609,2.46562433242798,2.28648924827576
587.049987792969,69.3783645629883,70.887451171875,70.0535659790039,64.2826156616211,158.283920288086,156.429733276367,61.5232276916504,61.778377532959,2.06061434745789,2.2366828918457
587.940002441406,67.3997497558594,68.3136444091797,64.6908187866211,65.0676574707031,153.423187255859,152.237869262695,60.6616249084473,59.5754699707031,2.51998925209045,2.48502826690674
588.969970703125,65.5669097900391,65.22021484375,62.2061958312988,63.0089492797852,146.797805786133,144.666961669922,59.3357429504394,57.4139518737793,2.18601202964783,2.35810375213623
590,62.6447334289551,63.7306480407715,61.2213706970215,59.211254119873,141.498825073242,141.213470458984,56.286190032959,56.0272102355957,1.85696423053741,2.13384556770325
591.02001953125,61.7393112182617,60.4974021911621,58.6494331359863,55.8043365478516,135.577117919922,137.018478393555,53.2365226745605,52.0532684326172,2.13999104499817,2.11343336105347
592.049987792969,59.4501190185547,57.7743072509766,55.0014686584473,55.2036094665527,130.648941040039,130.818267822266,52.174560546875,51.2212715148926,2.199547290802,2.08246374130249
592.940002441406,56.1453742980957,56.0795440673828,55.3337821960449,53.0856895446777,126.982940673828,129.461990356445,50.5690002441406,50.6241035461426,1.90011489391327,2.00904178619385
593.969970703125,54.3788757324219,53.5177993774414,53.4005737304687,51.1380844116211,123.224388122559,124.758781433105,48.2867660522461,47.8029518127441,2.00754356384277,1.94421648979187
