Wavelength (nm),Intensity (a.u.),Z Axis,
,CG_E0,CG_E0,CG_E5,CG_10,CG_20,CG_E21\,CG_E30,CG_E31,CG1w,CG1wkb,BC_E0_0,BC_E0_1,C0_E0_0,C0_E0_1,C0_E0_3,Ca_E0_0,Ca_E0_1,Ca_E0_2,Ca_E0_3,Ca_E0_4,Ca_E0_5,Cb_E0_0,Cb_E0_1,Cb_E0_2,Cc_E0_0,BC_E5_0,C0_E5_0,C0_E5_1,C0_E5_2,Ca_E10_0,Ca_E10_1,Ca_E10_2,Cb_E10_0,Cb_E10_1,Cb_E10_2,Cc_E10_0,Cc_E10_1,Cc_E10_2,Ca_E20_0,Ca_E20_1,Ca_E20_2,Cb_E20_0,Cb_E20_1,Cb_E20_2,Cd_E20_0,Cd_E20_1,Cd_E20_2,Ce_E20_0,Ce_E20_1,Ce_E20_2,BC_E20_0,C0_E20_0,C0_E20_1,C0_E20_2,Ca_E60_0,Ca_E60_1,Ca_E60_2,Cd_E60_0,Cd_E60_1,Cd_E60_2,Ca_E60_Ba_0,Ca_E60_Ba_1,Ca_E60_Ba_2,Cb_E60_Ba_0,Cb_E60_Ba_1,Cd_E60_Ba_0,Cd_E60_Ba_1,Cd_E60_Ba_2
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
510,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,912.005920410156,913.553466796875,906.228820800781,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
511.059997558594,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,772.743408203125,770.337829589844,768.992004394531,1000,1000,1000,1000,1000,1000,467.323608398438,461.575134277344,459.539611816406,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
511.959991455078,887.4130859375,880.900085449219,976.64990234375,862.212646484375,1000,1000,884.752136230469,874.665588378906,448.283874511719,442.086517333984,723.73486328125,733.24072265625,1000,1000,1000,920.187683105469,930.193786621094,919.619018554687,1000,1000,1000,695.977294921875,689.652587890625,689.773376464844,825.856994628906,668.594421386719,1000,1000,1000,722.769226074219,728.438293457031,716.255432128906,327.101226806641,329.066986083984,327.35888671875,758.840454101562,750.845092773437,757.837158203125,619.77294921875,614.444030761719,600.855834960937,202.847106933594,200.249008178711,202.454376220703,641.994750976563,636.231872558594,638.303894042969,661.783508300781,668.972595214844,668.984985351562,638.479370117187,1000,1000,1000,501.638763427734,493.880584716797,494.198669433594,621.720886230469,620.962158203125,621.043212890625,796.600280761719,799.202697753906,793.800415039063,429.429412841797,424.063018798828,760.404296875,741.575866699219,745.177062988281
513.030029296875,376.049224853516,372.965240478516,400.753845214844,364.770446777344,1000,1000,355.357971191406,354.529113769531,149.96110534668,149.016738891602,225.963668823242,228.591552734375,460.960266113281,459.763854980469,455.092163085937,361.177032470703,362.312835693359,363.299713134766,410.126129150391,408.21484375,408.301696777344,284.791870117187,287.568328857422,285.955780029297,328.910217285156,195.258758544922,392.589691162109,395.514984130859,397.334808349609,277.598052978516,271.603454589844,276.794128417969,124.461967468262,122.460350036621,122.023559570312,309.308868408203,310.804656982422,308.752014160156,216.769927978516,216.807479858398,217.569488525391,72.2332229614258,71.6218948364258,69.3799819946289,253.231704711914,254.63655090332,254.66960144043,280.812255859375,287.039001464844,279.944305419922,187.970397949219,378.158172607422,370.970855712891,374.037902832031,186.678634643555,180.013519287109,180.676620483398,233.802490234375,233.549545288086,234.099990844727,290.640625,289.782531738281,282.838104248047,154.888549804687,154.814636230469,284.270111083984,281.065765380859,280.062591552734
513.929992675781,248.70849609375,251.182250976562,251.945190429687,237.587249755859,1000,1000,226.084777832031,227.231323242187,53.4989051818848,51.470157623291,76.524055480957,78.5715103149414,235.007141113281,233.728179931641,234.394943237305,198.435287475586,200.505737304687,198.414932250977,219.418197631836,218.300399780273,218.212753295898,176.996398925781,177.437408447266,179.330429077148,193.048431396484,68.1705932617187,214.648910522461,210.794662475586,216.202911376953,146.151550292969,144.703155517578,142.061279296875,50.2837524414063,50.4703559875488,49.4613494873047,188.688858032227,185.877243041992,186.278625488281,106.822685241699,104.792419433594,107.243049621582,26.2919692993164,26.803337097168,27.0602760314941,148.593978881836,149.122528076172,146.526565551758,184.781921386719,184.539413452148,183.664703369141,65.4997329711914,199.643142700195,198.894638061523,198.20166015625,82.8943634033203,83.8400192260742,83.2558670043945,128.564483642578,126.117660522461,126.672744750977,146.109786987305,140.12760925293,141.153884887695,64.4356307983398,62.9760627746582,147.890533447266,147.312637329102,147.027908325195
515,233.050033569336,232.200302124023,227.015106201172,218.349594116211,956.284790039063,955.701232910156,206.209259033203,209.856018066406,26.8166694641113,26.72021484375,36.7767066955566,38.2462425231934,185.980041503906,187.167846679687,187.584777832031,165.49658203125,163.764129638672,164.274032592773,173.087997436523,175.963821411133,175.166122436523,160.206130981445,162.172058105469,159.685684204102,164.238708496094,37.443920135498,175.030563354492,173.991836547852,178.354690551758,117.953536987305,114.330780029297,116.985496520996,29.4864978790283,28.9606018066406,29.6129302978516,161.153060913086,160.854553222656,159.014343261719,76.7900619506836,78.1626358032227,75.7524566650391,15.0562152862549,14.493311882019,13.7323055267334,121.328811645508,121.869163513184,120.019317626953,170.297744750977,168.746932983398,171.226409912109,34.9482688903809,160.583389282227,161.863494873047,162.879943847656,57.2431907653809,57.4835929870605,56.9429397583008,103.141746520996,101.722190856934,102.687858581543,108.854293823242,110.391159057617,108.517593383789,37.4792442321777,36.432258605957,115.27961730957,116.70142364502,117.684898376465
516.059997558594,240.334213256836,241.815536499023,234.514190673828,229.565246582031,853.89892578125,852.756896972656,215.666259765625,211.922393798828,22.3312225341797,20.6633815765381,27.3283653259277,29.2210845947266,185.548950195313,185.694412231445,181.910797119141,162.256973266602,163.706680297852,166.448333740234,171.255630493164,172.191375732422,171.983001708984,166.376052856445,167.131454467773,163.588165283203,164.526992797852,30.1576290130615,174.466278076172,173.687301635742,177.162109375,114.755874633789,114.507057189941,114.561401367187,24.1773166656494,24.5227375030518,23.3045063018799,163.797134399414,164.242065429687,163.686737060547,74.5347290039063,72.9579391479492,72.6215362548828,11.5017852783203,11.8971071243286,10.808614730835,123.292541503906,120.366966247559,120.285133361816,177.476058959961,177.0546875,176.451217651367,29.0257244110107,160.81217956543,159.163497924805,162.924697875977,53.6945495605469,54.6117324829102,54.4113311767578,100.569519042969,100.903511047363,99.9136657714844,105.173980712891,107.697006225586,105.970596313477,31.423885345459,32.2506141662598,116.874694824219,113.406005859375,114.620262145996
516.960021972656,256.819305419922,257.492279052734,248.39762878418,240.591415405273,840.425415039063,831.057800292969,228.900009155273,228.40983581543,19.8695411682129,20.2697143554687,25.1749210357666,25.8483238220215,190.837539672852,191.804916381836,191.196350097656,171.498550415039,169.493240356445,169.382202148438,179.194412231445,183.015548706055,182.41943359375,174.210556030273,174.47021484375,175.834335327148,175.74104309082,27.4200077056885,183.609756469727,184.087142944336,182.564300537109,118.782379150391,117.112159729004,118.516296386719,23.9093990325928,24.1312026977539,23.592794418335,170.609268188477,173.308807373047,172.68310546875,75.1516036987305,74.2819976806641,76.924560546875,10.8795204162598,11.1038084030151,11.1264591217041,124.753746032715,126.655784606934,127.295417785645,187.344924926758,187.318054199219,185.708267211914,26.378719329834,165.88671875,167.109756469727,166.074508666992,54.5302963256836,55.2260704040527,53.7333374023438,104.026649475098,106.360794067383,103.713966369629,110.031799316406,108.949714660645,110.599128723145,31.0678787231445,31.367826461792,119.524406433105,118.371147155762,118.183921813965
518.030029296875,274.079864501953,271.53662109375,261.565673828125,252.717132568359,840.746765136719,839.802429199219,243.058013916016,239.241653442383,18.8082466125488,19.3464984893799,24.2086315155029,24.6006832122803,200.708160400391,200.550033569336,202.091995239258,177.455688476562,180.829406738281,181.0712890625,189.25016784668,190.461791992187,189.952728271484,185.473846435547,185.141952514648,184.319488525391,183.412628173828,25.0493450164795,189.777633666992,193.588653564453,192.038879394531,123.989349365234,124.101661682129,122.781311035156,24.5633144378662,23.776575088501,23.109806060791,181.842895507813,182.537109375,183.374282836914,76.8842391967773,79.776252746582,77.2421951293945,11.2902793884277,10.9512605667114,11.8640632629395,130.41242980957,134.931304931641,131.272598266602,199.240509033203,198.12287902832,197.505645751953,23.3243827819824,173.609771728516,173.737289428711,173.799865722656,56.8165817260742,55.3265190124512,56.2655220031738,108.754653930664,108.47802734375,107.631690979004,115.941253662109,114.154777526855,113.610343933105,32.1650924682617,31.5562973022461,124.709449768066,123.511184692383,123.410987854004
