MG_E0,,MG_E0,,MG_E0,,MG_E0,,MG_E0,,MG_E5,,MG_E10,,MG_10b,,MG_E20,,MG_E21,,MG_E20N10,,MG1wk,,MG1w_E20,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,510,1000,
511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,511.0599976,1000,
511.9599915,1000,511.9599915,1000,511.9599915,1000,511.9599915,1000,511.9599915,979.6546631,511.9599915,976.4346313,511.9599915,946.8334961,511.9599915,944.2080078,511.9599915,852.4997559,511.9599915,837.3919678,511.9599915,834.6309204,511.9599915,863.6052856,511.9599915,845.9417114,
513.0300293,1000,513.0300293,545.8636475,513.0300293,546.8686523,513.0300293,541.7581177,513.0300293,502.4398499,513.0300293,494.5632935,513.0300293,482.2460632,513.0300293,476.7494202,513.0300293,404.5143127,513.0300293,398.9096069,513.0300293,391.9539185,513.0300293,379.65979,513.0300293,358.356842,
513.9299927,1000,513.9299927,428.9236145,513.9299927,426.7209473,513.9299927,428.7423096,513.9299927,400.1793213,513.9299927,399.6237488,513.9299927,378.1555176,513.9299927,375.8409729,513.9299927,302.6445618,513.9299927,298.2169495,513.9299927,295.6097412,513.9299927,263.0698853,513.9299927,240.1708374,
515,1000,515,423.597229,515,421.8819885,515,423.0517578,515,405.6192932,515,398.4879761,515,376.4449768,515,372.0100098,515,292.7036133,515,290.3841248,515,290.3799438,515,249.0534058,515,224.2654114,
516.0599976,1000,516.0599976,453.3866272,516.0599976,458.7250671,516.0599976,453.0048523,516.0599976,432.3942261,516.0599976,426.8236084,516.0599976,400.7328796,516.0599976,397.2684937,516.0599976,312.2854919,516.0599976,310.5480347,516.0599976,305.6998596,516.0599976,256.2380066,516.0599976,240.0257111,
516.960022,1000,516.960022,484.8869324,516.960022,487.5848389,516.960022,482.2852478,516.960022,459.8227539,516.960022,450.9678955,516.960022,430.1461487,516.960022,428.7980957,516.960022,331.2467651,516.960022,329.0491638,516.960022,326.0535889,516.960022,274.5919189,516.960022,253.6228638,
518.0300293,1000,518.0300293,520.7717285,518.0300293,519.8039551,518.0300293,515.7510376,518.0300293,487.9328003,518.0300293,486.5149841,518.0300293,459.5211182,518.0300293,455.0947876,518.0300293,355.6498108,518.0300293,353.8379517,518.0300293,348.9970093,518.0300293,290.1331177,518.0300293,267.572113,
518.9299927,1000,518.9299927,551.3903198,518.9299927,552.2059937,518.9299927,548.5505371,518.9299927,524.9653931,518.9299927,512.0978394,518.9299927,491.8881226,518.9299927,487.5771484,518.9299927,373.4671021,518.9299927,372.4014893,518.9299927,369.9649353,518.9299927,303.8235474,518.9299927,281.1272583,
520,1000,520,580.3984985,520,577.7235718,520,585.2158203,520,546.5802002,520,547.3406982,520,514.6524048,520,509.2199402,520,396.664032,520,396.5900879,520,390.2710571,520,325.9210815,520,296.5692444,
521.039978,1000,521.039978,615.4935303,521.039978,615.6620483,521.039978,610.7189941,521.039978,576.7868042,521.039978,577.0197144,521.039978,537.9492798,521.039978,539.9182739,521.039978,417.5443726,521.039978,413.7021179,521.039978,411.1493835,521.039978,338.7782288,521.039978,311.9015198,
521.9400024,1000,521.9400024,642.1573486,521.9400024,643.1184692,521.9400024,636.9938354,521.9400024,602.8361206,521.9400024,595.1444092,521.9400024,555.5766602,521.9400024,559.1173096,521.9400024,433.8296814,521.9400024,428.8905334,521.9400024,425.3677063,521.9400024,351.9971008,521.9400024,320.8688965,
522.9799805,1000,522.9799805,671.8835449,522.9799805,666.0266724,522.9799805,669.6677856,522.9799805,627.2241821,522.9799805,625.901062,522.9799805,584.4570313,522.9799805,585.6773071,522.9799805,448.1933594,522.9799805,450.3394775,522.9799805,446.8282166,522.9799805,365.4564209,522.9799805,335.7579956,
524.0200195,1000,524.0200195,694.4441528,524.0200195,695.1125488,524.0200195,696.3464966,524.0200195,652.215332,524.0200195,652.8114624,524.0200195,603.3560181,524.0200195,608.7371216,524.0200195,467.1877747,524.0200195,468.1054688,524.0200195,460.3014526,524.0200195,381.8612061,524.0200195,349.8285522,
525.0700073,1000,525.0700073,713.8227539,525.0700073,714.2683716,525.0700073,714.4783325,525.0700073,669.28302,525.0700073,672.5236816,525.0700073,622.3947144,525.0700073,624.8103638,525.0700073,482.4811707,525.0700073,478.7227783,525.0700073,472.0057983,525.0700073,396.708313,525.0700073,361.5296326,
525.9699707,1000,525.9699707,736.3236084,525.9699707,730.9295044,525.9699707,730.366333,525.9699707,694.8261719,525.9699707,684.1481934,525.9699707,638.4404907,525.9699707,636.6253662,525.9699707,496.6096497,525.9699707,489.6133118,525.9699707,486.5988159,525.9699707,405.0760193,525.9699707,371.9551697,
527.0100098,1000,527.0100098,744.7596436,527.0100098,745.8556519,527.0100098,749.4915161,527.0100098,706.1141357,527.0100098,701.9341431,527.0100098,652.7322998,527.0100098,650.703125,527.0100098,508.2561951,527.0100098,504.2446289,527.0100098,492.5670776,527.0100098,412.0214539,527.0100098,376.4154358,
,,528.0499878,761.6279907,528.0499878,759.1669312,528.0499878,760.9254761,528.0499878,714.8201904,528.0499878,709.9047241,528.0499878,661.8659668,528.0499878,659.9428711,528.0499878,510.4701538,528.0499878,507.4330444,528.0499878,502.7393799,528.0499878,420.8764648,528.0499878,384.9225464,
,,528.9500122,766.2871094,528.9500122,762.1394043,528.9500122,762.3127441,528.9500122,726.9533691,528.9500122,713.1716309,528.9500122,664.1630859,528.9500122,664.7735596,528.9500122,513.2114868,528.9500122,513.3439941,528.9500122,503.4169006,528.9500122,419.388092,528.9500122,378.614563,
,,530,770.8535156,530,764.9301758,530,771.0404053,530,717.5959473,530,721.9949951,530,674.1264648,530,667.02771,530,515.9342041,530,514.585083,530,504.0012512,530,420.0447083,530,384.5075684,
,,531.0200195,764.6934204,531.0200195,768.8609009,531.0200195,770.6155396,531.0200195,722.3076172,531.0200195,725.2246704,531.0200195,668.3900757,531.0200195,670.1646118,531.0200195,516.1107178,531.0200195,512.4240112,531.0200195,503.9891052,531.0200195,418.2676392,531.0200195,384.3307495,
,,532.0499878,767.6651611,532.0499878,769.3540039,532.0499878,762.1621704,532.0499878,721.2405396,532.0499878,711.4771118,532.0499878,666.0579834,532.0499878,662.7936401,532.0499878,513.4365845,532.0499878,507.9136353,532.0499878,503.0895386,532.0499878,417.3229065,532.0499878,379.6396484,
,,532.9400024,756.9490967,532.9400024,761.7611084,532.9400024,753.6782227,532.9400024,713.2846069,532.9400024,709.9325562,532.9400024,661.7607422,532.9400024,662.7364502,532.9400024,504.8192749,532.9400024,502.1399231,532.9400024,497.8964539,532.9400024,414.1168213,532.9400024,380.1595764,
,,533.9699707,752.0586548,533.9699707,755.9631958,533.9699707,748.2564697,533.9699707,703.4873047,533.9699707,698.8948364,533.9699707,657.2755127,533.9699707,656.0783691,533.9699707,499.8907166,533.9699707,497.5619202,533.9699707,492.7357788,533.9699707,408.9460449,533.9699707,370.9262695,
,,535,735.4874878,535,746.4849243,535,732.5650024,535,695.0950928,535,688.7288818,535,647.5151367,535,643.6854858,535,497.5527649,535,492.7704163,535,486.6852722,535,404.174469,535,366.3083191,
,,536.0200195,730.7694092,536.0200195,729.762207,536.0200195,721.5741577,536.0200195,684.8203735,536.0200195,678.1899414,536.0200195,631.9188843,536.0200195,630.1230469,536.0200195,490.587677,536.0200195,479.7918701,536.0200195,478.8085327,536.0200195,396.1015625,536.0200195,356.1805115,
,,537.0499878,718.5958252,537.0499878,713.295105,537.0499878,709.4202271,537.0499878,674.2574463,537.0499878,665.4255371,537.0499878,623.2077026,537.0499878,621.3502808,537.0499878,477.8850403,537.0499878,471.6111755,537.0499878,466.9008179,537.0499878,388.1965332,537.0499878,349.7932739,
,,537.9400024,698.6715698,537.9400024,706.6205444,537.9400024,694.4494629,537.9400024,660.3081665,537.9400024,649.1652222,537.9400024,606.9694214,537.9400024,607.4477539,537.9400024,472.8954163,537.9400024,462.5059204,537.9400024,463.8518372,537.9400024,379.9935303,537.9400024,346.2460632,
,,538.9699707,683.5543213,538.9699707,687.5018921,538.9699707,682.8920288,538.9699707,650.0484009,538.9699707,637.3884888,538.9699707,594.6450806,538.9699707,594.2028809,538.9699707,459.5794067,538.9699707,452.6941528,538.9699707,448.1795349,538.9699707,376.1091614,538.9699707,338.4770813,
,,540,666.9528809,540,665.5540771,540,655.2960815,540,629.9498901,540,621.0565186,540,587.3984985,540,580.0905151,540,447.2084045,540,440.3261719,540,435.1100464,540,365.4710083,540,328.0123901,
,,541.039978,657.4371338,541.039978,647.1419067,541.039978,644.6547852,541.039978,619.6925049,541.039978,607.3129883,541.039978,570.128479,541.039978,567.6002197,541.039978,439.2473145,541.039978,433.1758118,541.039978,428.6217041,541.039978,350.5588074,541.039978,320.2820435,
,,541.9400024,641.9727783,541.9400024,633.9963379,541.9400024,632.0140381,541.9400024,600.0527344,541.9400024,591.0546265,541.9400024,560.2017212,541.9400024,552.064209,541.9400024,423.6655273,541.9400024,420.7233276,541.9400024,419.9811707,541.9400024,344.3542175,541.9400024,314.9660645,
,,542.9799805,618.0509033,542.9799805,617.9082031,542.9799805,611.0764771,542.9799805,585.1450806,542.9799805,573.8016357,542.9799805,539.7559204,542.9799805,540.0377808,542.9799805,410.1810608,542.9799805,409.5258179,542.9799805,408.0184631,542.9799805,338.1447144,542.9799805,306.405426,
,,544.0200195,595.8829956,544.0200195,596.8520508,544.0200195,601.0750122,544.0200195,566.8035889,544.0200195,555.4924316,544.0200195,527.3944702,544.0200195,525.480896,544.0200195,403.948761,544.0200195,395.4597473,544.0200195,395.9001465,544.0200195,324.9898987,544.0200195,295.2338257,
,,545.0700073,585.0245361,545.0700073,575.7177734,545.0700073,577.1499634,545.0700073,548.1411133,545.0700073,539.6789551,545.0700073,506.1787415,545.0700073,503.8830566,545.0700073,390.2895508,545.0700073,386.2041016,545.0700073,381.4325562,545.0700073,317.6680298,545.0700073,287.9693298,
,,545.9699707,561.7454224,545.9699707,558.637207,545.9699707,559.0229492,545.9699707,534.4216919,545.9699707,523.9147949,545.9699707,491.5034485,545.9699707,495.0778809,545.9699707,374.0134583,545.9699707,372.4193726,545.9699707,369.5094299,545.9699707,305.8106995,545.9699707,278.7957764,
,,547.0100098,542.2113037,547.0100098,545.3206177,547.0100098,543.1474609,547.0100098,513.5697632,547.0100098,507.5757446,547.0100098,475.8954163,547.0100098,476.5941162,547.0100098,362.099884,547.0100098,361.5921326,547.0100098,359.7987366,547.0100098,297.9259644,547.0100098,267.9702759,
,,548.0499878,528.8169556,548.0499878,524.5540161,548.0499878,523.296814,548.0499878,503.9014282,548.0499878,492.9030762,548.0499878,458.5723877,548.0499878,462.7012939,548.0499878,351.4038391,548.0499878,351.4566956,548.0499878,344.3990479,548.0499878,285.8272705,548.0499878,260.1846619,
,,548.9500122,512.7946777,548.9500122,509.0123901,548.9500122,508.8074341,548.9500122,484.4660645,548.9500122,479.4795227,548.9500122,448.1616821,548.9500122,448.6725769,548.9500122,342.0693665,548.9500122,341.8753357,548.9500122,337.0594177,548.9500122,275.7776794,548.9500122,256.2145386,
,,550,487.5131531,550,491.8059387,550,491.1703186,550,464.7851868,550,458.8131409,550,435.8050232,550,431.5050964,550,330.5357361,550,327.5513,550,325.938446,550,264.6112976,550,244.8755035,
,,551.039978,474.1069031,551.039978,477.3417664,551.039978,467.9147949,551.039978,447.0839539,551.039978,443.0913696,551.039978,410.7570801,551.039978,411.7675171,551.039978,314.5400696,551.039978,313.7200928,551.039978,313.1679077,551.039978,259.1888123,551.039978,232.7511292,
,,551.9400024,456.7337952,551.9400024,460.4290771,551.9400024,456.5406799,551.9400024,432.9187927,551.9400024,428.9868164,551.9400024,402.2614441,551.9400024,401.0421448,551.9400024,306.2481384,551.9400024,306.9637146,551.9400024,303.9058533,551.9400024,246.8559875,551.9400024,227.8320465,
,,552.9799805,443.0788269,552.9799805,440.6708679,552.9799805,441.9608459,552.9799805,420.7557373,552.9799805,419.8453369,552.9799805,384.5429688,552.9799805,386.456665,552.9799805,299.0856323,552.9799805,293.2424316,552.9799805,294.6104431,552.9799805,237.5067902,552.9799805,221.5152283,
,,554.0200195,429.193573,554.0200195,425.9025574,554.0200195,429.2572937,554.0200195,404.0222778,554.0200195,403.4647827,554.0200195,372.9880371,554.0200195,372.0042725,554.0200195,289.8806763,554.0200195,288.6708069,554.0200195,282.1942444,554.0200195,232.9793549,554.0200195,213.2709351,
,,555.0700073,413.0473938,555.0700073,408.3065186,555.0700073,412.1213684,555.0700073,388.7927856,555.0700073,386.0801392,555.0700073,357.3500061,555.0700073,360.0148621,555.0700073,275.3992004,555.0700073,275.9839478,555.0700073,274.1208801,555.0700073,221.7172394,555.0700073,206.8526459,
,,555.9699707,397.7028809,555.9699707,400.9431458,555.9699707,398.7054138,555.9699707,376.8187866,555.9699707,372.5261841,555.9699707,349.0617371,555.9699707,349.7626038,555.9699707,266.6054077,555.9699707,262.4432678,555.9699707,264.9769287,555.9699707,216.6071472,555.9699707,195.9489594,
,,557.0100098,385.3108215,557.0100098,381.0827026,557.0100098,385.8947144,557.0100098,362.5099792,557.0100098,360.3285522,557.0100098,334.4740906,557.0100098,336.5345764,557.0100098,257.9121704,557.0100098,256.1390686,557.0100098,250.7894287,557.0100098,206.2701263,557.0100098,190.2485657,
