Wavelength (nm),Intensity (a.u.),Z Axis,
,FC1-E0min,FC2-E0min,FC3-E0min,FC4-E0min,FC1-E0minB,FC2-E0minB,FC3-E0minB,FC4-E0minB,FC1-E0minC,FC2-E0minC,FC3-E0minC,FC4-E0minC
,1,2,3,4,5,6,7,8,9,10,11,12
504.920013427734,860.182556152344,325.229400634766,152.193130493164,598.096740722656,495.353149414063,325.38232421875,489.90087890625,469.569519042969,498.765502929687,321.607635498047,477.169494628906,365.425872802734
505.970001220703,560.657470703125,262.573181152344,144.646148681641,523.603820800781,420.645751953125,259.549865722656,398.379241943359,388.421020507812,416.614685058594,258.153533935547,378.045532226562,298.359802246094
506.859985351562,504.6796875,242.665298461914,142.213623046875,496.685150146484,396.713836669922,235.884841918945,376.071228027344,371.204193115234,401.455444335937,231.374420166016,353.374176025391,280.372253417969
507.910003662109,500.032958984375,228.681732177734,147.598159790039,481.000640869141,398.8359375,220.167984008789,374.949890136719,368.121002197266,401.045928955078,223.909881591797,349.829986572266,274.086395263672
508.950012207031,499.345977783203,216.048843383789,157.317428588867,486.388793945313,406.893676757812,213.459228515625,378.350311279297,371.771087646484,404.220672607422,212.411972045898,358.793334960937,287.283020019531
509.850006103516,493.729125976562,205.212127685547,160.709045410156,484.565795898438,412.046081542969,207.277267456055,380.869384765625,377.089080810547,402.767059326172,198.892227172852,357.821746826172,291.149597167969
510.899993896484,494.794586181641,200.55680847168,164.794906616211,485.231903076172,410.677062988281,196.411026000977,384.792297363281,378.858276367188,406.355102539063,192.792694091797,359.860290527344,294.489868164063
511.959991455078,495.578277587891,191.272201538086,167.713348388672,483.910064697266,418.720367431641,187.810806274414,389.157012939453,378.589172363281,414.436096191406,182.255477905273,368.698760986328,304.0166015625
512.869995117188,494.898254394531,185.710739135742,172.604339599609,480.742462158203,422.744415283203,178.450134277344,388.18212890625,382.620819091797,411.887512207031,175.937652587891,369.772918701172,305.456878662109
513.929992675781,495.46435546875,176.343460083008,176.500701904297,476.460571289063,424.798950195313,175.445236206055,391.070587158203,386.063934326172,418.585601806641,168.312149047852,365.781890869141,304.584075927734
514.840026855469,493.882537841797,172.999160766602,177.025604248047,472.651702880859,422.725311279297,165.815887451172,389.607299804687,384.444488525391,418.196228027344,168.819396972656,366.349792480469,318.29833984375
515.900024414063,492.50927734375,165.982116699219,182.092254638672,463.175994873047,422.383331298828,163.294906616211,388.40869140625,383.646575927734,410.932464599609,160.708572387695,363.821868896484,315.241058349609
516.960021972656,487.432434082031,159.696517944336,178.839660644531,466.482055664063,418.559844970703,154.588592529297,383.329528808594,381.422760009766,412.101470947266,154.588653564453,367.258026123047,314.92431640625
517.869995117188,480.097930908203,150.651611328125,183.977676391602,460.677001953125,416.648254394531,150.423034667969,376.923278808594,376.647827148438,409.855377197266,148.991500854492,361.375793457031,311.537170410156
518.929992675781,473.489318847656,150.175384521484,178.581817626953,449.225189208984,413.214965820313,144.909896850586,384.764495849609,374.328430175781,404.413940429687,146.08561706543,355.725799560547,311.997711181641
519.840026855469,462.736511230469,144.984237670898,179.516418457031,447.676177978516,409.251831054687,140.076385498047,369.515960693359,375.293853759766,401.362670898438,142.746810913086,352.173583984375,310.50927734375
520.890014648438,461.340942382812,141.087371826172,177.2841796875,440.543090820313,403.468048095703,137.731307983398,370.610137939453,366.384918212891,392.921569824219,136.921325683594,350.641174316406,301.002014160156
521.940002441406,447.480804443359,136.217727661133,179.225524902344,437.307434082031,398.605072021484,134.58642578125,364.446014404297,366.147613525391,391.224212646484,131.512359619141,343.957855224609,301.939147949219
522.97998046875,440.619293212891,130.996170043945,173.965103149414,429.177093505859,391.346008300781,130.12158203125,355.474884033203,361.206298828125,382.498565673828,128.057525634766,337.656005859375,289.517425537109
523.880004882812,428.785980224609,129.703216552734,169.454818725586,425.150085449219,387.809448242188,127.092880249023,355.725372314453,350.461029052734,379.441101074219,126.873481750488,332.075317382812,290.759033203125
524.919982910156,429.044830322266,132.419937133789,167.783065795898,408.200958251953,373.054138183594,125.096244812012,349.109436035156,344.705078125,369.395172119141,122.958473205566,320.263885498047,286.651611328125
525.969970703125,421.661804199219,124.725318908691,162.085464477539,401.534393310547,365.174194335937,120.13614654541,337.366729736328,336.590270996094,355.838897705078,120.714935302734,317.257141113281,275.328674316406
526.859985351562,402.413665771484,121.635139465332,161.831390380859,396.8916015625,358.438293457031,118.79133605957,332.294738769531,330.138397216797,350.196472167969,119.412033081055,310.475402832031,271.954650878906
527.909973144531,399.934204101562,120.356399536133,155.881637573242,385.421142578125,350.739440917969,120.787422180176,324.579010009766,321.082916259766,341.163269042969,117.349060058594,302.070709228516,260.531402587891
528.950012207031,384.480224609375,117.115295410156,150.140106201172,376.842071533203,343.142181396484,116.787078857422,309.156585693359,311.166839599609,334.616668701172,114.200141906738,296.823944091797,253.332412719727
529.849975585937,385.265350341797,117.82152557373,146.031112670898,365.272888183594,329.563568115234,113.052574157715,303.337707519531,302.703277587891,319.989501953125,111.692161560059,283.618865966797,247.147384643555
530.880004882812,363.780456542969,110.96263885498,142.092727661133,350.719970703125,323.8974609375,111.523345947266,291.777221679687,289.445587158203,308.706176757812,107.774642944336,276.469482421875,238.360244750977
