MG_E21,
Wavelength (nm),Intensity (a.u.)
510,1000
511.0599976,1000
511.9599915,837.3919678
513.0300293,398.9096069
513.9299927,298.2169495
515,290.3841248
516.0599976,310.5480347
516.960022,329.0491638
518.0300293,353.8379517
518.9299927,372.4014893
520,396.5900879
521.039978,413.7021179
521.9400024,428.8905334
522.9799805,450.3394775
524.0200195,468.1054688
525.0700073,478.7227783
525.9699707,489.6133118
527.0100098,504.2446289
528.0499878,507.4330444
528.9500122,513.3439941
530,514.585083
531.0200195,512.4240112
532.0499878,507.9136353
532.9400024,502.1399231
533.9699707,497.5619202
535,492.7704163
536.0200195,479.7918701
537.0499878,471.6111755
537.9400024,462.5059204
538.9699707,452.6941528
540,440.3261719
541.039978,433.1758118
541.9400024,420.7233276
542.9799805,409.5258179
544.0200195,395.4597473
545.0700073,386.2041016
545.9699707,372.4193726
547.0100098,361.5921326
548.0499878,351.4566956
548.9500122,341.8753357
550,327.5513
551.039978,313.7200928
551.9400024,306.9637146
552.9799805,293.2424316
554.0200195,288.6708069
555.0700073,275.9839478
555.9699707,262.4432678
557.0100098,256.1390686
558.0499878,245.9688263
558.9500122,239.7204285
560,232.2020569
561.0200195,227.2440491
562.0499878,214.2734985
562.9400024,210.830719
563.9699707,201.5701599
565,197.4195709
566.0200195,192.210083
567.0499878,185.4723511
567.9400024,181.075531
568.9699707,175.0094604
570,169.3153534
571.0200195,165.2342377
572.0499878,157.8010864
572.9400024,156.2314453
573.9699707,147.56073
575,144.862442
576.0200195,139.6268616
577.0499878,135.9945068
577.9400024,130.491806
578.9699707,123.9378204
580,121.714035
581.0200195,117.99646
582.0499878,114.3741074
582.9400024,107.8634796
583.9699707,104.8312073
585,102.1557846
586.0200195,97.14138031
587.0499878,93.79375458
587.9400024,91.99681854
588.9699707,86.24938965
590,84.1872406
591.0200195,81.18410492
592.0499878,77.18328857
592.9400024,73.65592194
593.9699707,71.9752121
595,68.9597168
596.0200195,68.08822632
597.0499878,64.86927795
597.9400024,62.15029144
598.9699707,58.82992172
600,58.66048813
